scope,attack,success,failure,total,rate
all,transcript_simulator,4167,5833,10000,0.4167
all,deterministic_student,4167,5833,10000,0.4167
all,route_metadata_student,10000,0,10000,1.0
all,subgroup_aux_student,7501,2499,10000,0.7501
group=normal,transcript_simulator,834,1666,2500,0.3336
group=normal,deterministic_student,834,1666,2500,0.3336
group=normal,route_metadata_student,2500,0,2500,1.0
group=normal,subgroup_aux_student,834,1666,2500,0.3336
group=proxy_cluster,transcript_simulator,1666,834,2500,0.6664
group=proxy_cluster,deterministic_student,1666,834,2500,0.6664
group=proxy_cluster,route_metadata_student,2500,0,2500,1.0
group=proxy_cluster,subgroup_aux_student,2500,0,2500,1.0
group=suspicious_campaign,transcript_simulator,0,2500,2500,0.0
group=suspicious_campaign,deterministic_student,0,2500,2500,0.0
group=suspicious_campaign,route_metadata_student,2500,0,2500,1.0
group=suspicious_campaign,subgroup_aux_student,2500,0,2500,1.0
group=enterprise_eval,transcript_simulator,1667,833,2500,0.6668
group=enterprise_eval,deterministic_student,1667,833,2500,0.6668
group=enterprise_eval,route_metadata_student,2500,0,2500,1.0
group=enterprise_eval,subgroup_aux_student,1667,833,2500,0.6668
query_family=simple_qa,transcript_simulator,0,833,833,0.0
query_family=simple_qa,deterministic_student,0,833,833,0.0
query_family=simple_qa,route_metadata_student,833,0,833,1.0
query_family=simple_qa,subgroup_aux_student,833,0,833,1.0
query_family=code_generation,transcript_simulator,833,1666,2499,0.333333
query_family=code_generation,deterministic_student,833,1666,2499,0.333333
query_family=code_generation,route_metadata_student,2499,0,2499,1.0
query_family=code_generation,subgroup_aux_student,833,1666,2499,0.333333
query_family=tool_planning,transcript_simulator,0,833,833,0.0
query_family=tool_planning,deterministic_student,0,833,833,0.0
query_family=tool_planning,route_metadata_student,833,0,833,1.0
query_family=tool_planning,subgroup_aux_student,833,0,833,1.0
query_family=multi_step,transcript_simulator,1667,833,2500,0.6668
query_family=multi_step,deterministic_student,1667,833,2500,0.6668
query_family=multi_step,route_metadata_student,2500,0,2500,1.0
query_family=multi_step,subgroup_aux_student,1667,833,2500,0.6668
query_family=policy_edge,transcript_simulator,0,834,834,0.0
query_family=policy_edge,deterministic_student,0,834,834,0.0
query_family=policy_edge,route_metadata_student,834,0,834,1.0
query_family=policy_edge,subgroup_aux_student,834,0,834,1.0
query_family=domain,transcript_simulator,1667,834,2501,0.666533
query_family=domain,deterministic_student,1667,834,2501,0.666533
query_family=domain,route_metadata_student,2501,0,2501,1.0
query_family=domain,subgroup_aux_student,2501,0,2501,1.0
