secret_id,capability,group,query_family,difficulty,route_id,campaign_id
0,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_000
1,coding,normal,domain,hard,code_route,camp_017
2,tool_use,proxy_cluster,domain,easy,tool_route,camp_039
3,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_051
4,policy_edge,enterprise_eval,domain,medium,safety_route,camp_068
5,domain_expert,normal,code_generation,hard,expert_route,camp_085
6,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_010
7,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_022
8,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_039
9,computer_use,normal,multi_step,easy,computer_route,camp_056
10,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_078
11,coding,suspicious_campaign,tool_planning,medium,code_route,camp_090
12,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_010
13,coding,normal,domain,hard,code_route,camp_027
14,tool_use,proxy_cluster,domain,easy,tool_route,camp_049
15,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_061
16,policy_edge,enterprise_eval,domain,medium,safety_route,camp_078
17,domain_expert,normal,code_generation,hard,expert_route,camp_095
18,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_020
19,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_032
20,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_049
21,computer_use,normal,multi_step,easy,computer_route,camp_066
22,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_088
23,coding,suspicious_campaign,tool_planning,medium,code_route,camp_003
24,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_020
25,coding,normal,domain,hard,code_route,camp_037
26,tool_use,proxy_cluster,domain,easy,tool_route,camp_059
27,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_071
28,policy_edge,enterprise_eval,domain,medium,safety_route,camp_088
29,domain_expert,normal,code_generation,hard,expert_route,camp_008
30,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_030
31,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_042
32,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_059
33,computer_use,normal,multi_step,easy,computer_route,camp_076
34,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_001
35,coding,suspicious_campaign,tool_planning,medium,code_route,camp_013
36,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_030
37,coding,normal,domain,hard,code_route,camp_047
38,tool_use,proxy_cluster,domain,easy,tool_route,camp_069
39,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_081
40,policy_edge,enterprise_eval,domain,medium,safety_route,camp_001
41,domain_expert,normal,code_generation,hard,expert_route,camp_018
42,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_040
43,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_052
44,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_069
45,computer_use,normal,multi_step,easy,computer_route,camp_086
46,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_011
47,coding,suspicious_campaign,tool_planning,medium,code_route,camp_023
48,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_040
49,coding,normal,domain,hard,code_route,camp_057
50,tool_use,proxy_cluster,domain,easy,tool_route,camp_079
51,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_091
52,policy_edge,enterprise_eval,domain,medium,safety_route,camp_011
53,domain_expert,normal,code_generation,hard,expert_route,camp_028
54,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_050
55,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_062
56,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_079
57,computer_use,normal,multi_step,easy,computer_route,camp_096
58,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_021
59,coding,suspicious_campaign,tool_planning,medium,code_route,camp_033
60,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_050
61,coding,normal,domain,hard,code_route,camp_067
62,tool_use,proxy_cluster,domain,easy,tool_route,camp_089
63,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_004
64,policy_edge,enterprise_eval,domain,medium,safety_route,camp_021
65,domain_expert,normal,code_generation,hard,expert_route,camp_038
66,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_060
67,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_072
68,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_089
69,computer_use,normal,multi_step,easy,computer_route,camp_009
70,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_031
71,coding,suspicious_campaign,tool_planning,medium,code_route,camp_043
72,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_060
73,coding,normal,domain,hard,code_route,camp_077
74,tool_use,proxy_cluster,domain,easy,tool_route,camp_002
75,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_014
76,policy_edge,enterprise_eval,domain,medium,safety_route,camp_031
77,domain_expert,normal,code_generation,hard,expert_route,camp_048
78,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_070
79,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_082
80,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_002
81,computer_use,normal,multi_step,easy,computer_route,camp_019
82,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_041
83,coding,suspicious_campaign,tool_planning,medium,code_route,camp_053
84,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_070
85,coding,normal,domain,hard,code_route,camp_087
86,tool_use,proxy_cluster,domain,easy,tool_route,camp_012
87,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_024
88,policy_edge,enterprise_eval,domain,medium,safety_route,camp_041
89,domain_expert,normal,code_generation,hard,expert_route,camp_058
90,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_080
91,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_092
92,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_012
93,computer_use,normal,multi_step,easy,computer_route,camp_029
94,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_051
95,coding,suspicious_campaign,tool_planning,medium,code_route,camp_063
96,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_080
97,coding,normal,domain,hard,code_route,camp_000
98,tool_use,proxy_cluster,domain,easy,tool_route,camp_022
99,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_034
100,policy_edge,enterprise_eval,domain,medium,safety_route,camp_051
101,domain_expert,normal,code_generation,hard,expert_route,camp_068
102,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_090
103,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_005
104,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_022
105,computer_use,normal,multi_step,easy,computer_route,camp_039
106,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_061
107,coding,suspicious_campaign,tool_planning,medium,code_route,camp_073
108,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_090
109,coding,normal,domain,hard,code_route,camp_010
110,tool_use,proxy_cluster,domain,easy,tool_route,camp_032
111,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_044
112,policy_edge,enterprise_eval,domain,medium,safety_route,camp_061
113,domain_expert,normal,code_generation,hard,expert_route,camp_078
114,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_003
115,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_015
116,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_032
117,computer_use,normal,multi_step,easy,computer_route,camp_049
118,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_071
119,coding,suspicious_campaign,tool_planning,medium,code_route,camp_083
120,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_003
121,coding,normal,domain,hard,code_route,camp_020
122,tool_use,proxy_cluster,domain,easy,tool_route,camp_042
123,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_054
124,policy_edge,enterprise_eval,domain,medium,safety_route,camp_071
125,domain_expert,normal,code_generation,hard,expert_route,camp_088
126,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_013
127,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_025
128,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_042
129,computer_use,normal,multi_step,easy,computer_route,camp_059
130,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_081
131,coding,suspicious_campaign,tool_planning,medium,code_route,camp_093
132,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_013
133,coding,normal,domain,hard,code_route,camp_030
134,tool_use,proxy_cluster,domain,easy,tool_route,camp_052
135,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_064
136,policy_edge,enterprise_eval,domain,medium,safety_route,camp_081
137,domain_expert,normal,code_generation,hard,expert_route,camp_001
138,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_023
139,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_035
140,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_052
141,computer_use,normal,multi_step,easy,computer_route,camp_069
142,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_091
143,coding,suspicious_campaign,tool_planning,medium,code_route,camp_006
144,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_023
145,coding,normal,domain,hard,code_route,camp_040
146,tool_use,proxy_cluster,domain,easy,tool_route,camp_062
147,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_074
148,policy_edge,enterprise_eval,domain,medium,safety_route,camp_091
149,domain_expert,normal,code_generation,hard,expert_route,camp_011
150,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_033
151,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_045
152,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_062
153,computer_use,normal,multi_step,easy,computer_route,camp_079
154,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_004
155,coding,suspicious_campaign,tool_planning,medium,code_route,camp_016
156,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_033
157,coding,normal,domain,hard,code_route,camp_050
158,tool_use,proxy_cluster,domain,easy,tool_route,camp_072
159,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_084
160,policy_edge,enterprise_eval,domain,medium,safety_route,camp_004
161,domain_expert,normal,code_generation,hard,expert_route,camp_021
162,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_043
163,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_055
164,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_072
165,computer_use,normal,multi_step,easy,computer_route,camp_089
166,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_014
167,coding,suspicious_campaign,tool_planning,medium,code_route,camp_026
168,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_043
169,coding,normal,domain,hard,code_route,camp_060
170,tool_use,proxy_cluster,domain,easy,tool_route,camp_082
171,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_094
172,policy_edge,enterprise_eval,domain,medium,safety_route,camp_014
173,domain_expert,normal,code_generation,hard,expert_route,camp_031
174,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_053
175,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_065
176,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_082
177,computer_use,normal,multi_step,easy,computer_route,camp_002
178,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_024
179,coding,suspicious_campaign,tool_planning,medium,code_route,camp_036
180,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_053
181,coding,normal,domain,hard,code_route,camp_070
182,tool_use,proxy_cluster,domain,easy,tool_route,camp_092
183,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_007
184,policy_edge,enterprise_eval,domain,medium,safety_route,camp_024
185,domain_expert,normal,code_generation,hard,expert_route,camp_041
186,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_063
187,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_075
188,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_092
189,computer_use,normal,multi_step,easy,computer_route,camp_012
190,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_034
191,coding,suspicious_campaign,tool_planning,medium,code_route,camp_046
192,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_063
193,coding,normal,domain,hard,code_route,camp_080
194,tool_use,proxy_cluster,domain,easy,tool_route,camp_005
195,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_017
196,policy_edge,enterprise_eval,domain,medium,safety_route,camp_034
197,domain_expert,normal,code_generation,hard,expert_route,camp_051
198,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_073
199,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_085
200,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_005
201,computer_use,normal,multi_step,easy,computer_route,camp_022
202,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_044
203,coding,suspicious_campaign,tool_planning,medium,code_route,camp_056
204,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_073
205,coding,normal,domain,hard,code_route,camp_090
206,tool_use,proxy_cluster,domain,easy,tool_route,camp_015
207,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_027
208,policy_edge,enterprise_eval,domain,medium,safety_route,camp_044
209,domain_expert,normal,code_generation,hard,expert_route,camp_061
210,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_083
211,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_095
212,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_015
213,computer_use,normal,multi_step,easy,computer_route,camp_032
214,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_054
215,coding,suspicious_campaign,tool_planning,medium,code_route,camp_066
